sample id,machine id,diameter[inch],gauge[needles/inch],machine type,fabric type,iplik 1 numarasi[x m/1gr],yarn 1 make,yarn 1 type,iplik 1 uzunlugu[cm],Iplik 1 beslenme orani[%],iplik 2 numarasi[x m/1gr],yarn 2 make,yarn 2 type,iplik 2 uzunlugu[cm],iplik 2 beslenme orani[%],iplik 3 numarasi[x m/1gr],yarn 3 make,yarn 3 type,iplik 3 uzunlugu[cm],iplik 3 beslenme orani,machine caliber,machine speed[rpm],fabric property[roll?],total input yarn[kg],fabric weight[kg],total revolutions per roll ,fabric roll weight,roll width[cm],GSM[gr/m2]
57,19,36,18,double jersey,ribbed,30/1,LIBAS,combed,27,97,30,ANKAR,lycra,,3,,,,,,interlock 2*1,17,tube,,,,,184,342.2
58,17,36,17,double jersey,ribbed,30/1,ARKAN,combed,72,98,40,HUAFON,lycra,,2,,,,,,ribbed,17,tube with line,,,,,216,307
59,19,36,18,double jersey,ribbed,28/2 ,MODASN,vortex gray melange,27,98,30,ANKAR,lycra,,2,,,,,,interlock 2*2,17,tube,,,,,172,330.7
60,29,32,22,single jersey,single,30/1,NIPAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,202,128.4
61,31,32,28,single jersey,single,30/1,SIRIKCIOGL,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,212,123
62,31,32,28,single jersey,single,30/1,GNT ,vortex gray melange,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,212,123
63,31,32,28,single jersey,single,30/1,NOPAS,combed-cotton-polyester,28,100,,,,,,,,,,,single,26,tube with line,,,,,220,132.7
64,17,36,17,double jersey,ribbed,30/2,ARKAN,combed,72,98,40,HUAFON,lycra,,2,,,,,,ribbed,20,tube with line,,,,,230,312.3
65,5,32,20,single jersey,fleece,28/1,MODASN,vortex gray melange,44,42,70,TEKSMAR,polyester,28,10,10/1,NIPAS,open end-gray melange ,17,48,plain,21,tube with line,,,,,214,298.9
66,17,36,17,double jersey,ribbed,30/2,NIPAS,combed,72,97,40,HUAFON,lycra,,3,,,,,,ribbed,20,tube with line,415.6,399.1,,,226,311
67,G1,26,28,single jersey,single,26/1,NIPAS,combed,25.5,100,,,,,,,,,,,lacoste,,tube with line,,,,,212,179
68,K1,30,26,single jersey,single,24/1,GNT ,vortex gray melange,29.5,100,,,,,,,,,,,lacoste,,tube with line,,,,,200,146.4
69,29,32,22,single jersey,single,27/1,NOPAS,combed,28,100,,,,,,,,,,,single,26,tube with line,,,,,224,143.1
70,18,36,18,double jersey,ribbed,30/1,MARTEKS,vortex gray melange50% polyester50%,72,76,70/40,TEKSMAR,ecru guipure,48,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,,,,,192,373.5
71,32,32,28,single jersey,single,40/1,NIPAS,combed,29,94,20,TEKSMAR,lycra,,6,,,,,,single,26,open width,,,,,182,126
72,33,32,28,single jersey,single,40/1,NIPAS,combed,29,47.5,40/1,NIPAS,combed,,47.5,20,TEKSMAR,lycra,,5,S/Z twist single,26,open width,,,,,200,164
73,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,NIPAS,combed,,32,40,HUAFON,lycra,,4,diagonal,26,open width,,,,,200,243
74,3,32,20,single jersey,fleece,30/1,KIPAS,combed,45,33,30/1,KARESI,combed,40,29,10/1,SIRIKCIOGLI,carded,10,38,plain,21,tube with line,,,,,224,269
75,31,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,TEKSMAR,lycra,,5,,,,,,single,26,open width,,,,,206,156
76,28,32,28,single jersey,single,30/1,LIBAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,202,130
77,29,32,22,single jersey,single,27/1,NOPAS,combed,28,100,,,,,,,,,,,single,26,tube with line,,,,,209,125
78,8,32,20,single jersey,fleece,36/1,MARTEKS,combed,44,31,36/1,MARTEKS,combed,36,26,20/2,KARACASU,carded,17,43,diagonal,21,tube with line,,,,,232,246
79,34,32,28,single jersey,single,24/1,LIBAS,combed,30,100,,,,,,,,,,,single,26,tube with line,,,,,232,160
80,18,36,18,double jersey,ribbed,30/1,LIBAS,combed,72,76,70/40,TEKSMAR,ecru guipure,68,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,,,,,192,377
81,29,32,22,single jersey,single,30/1,ARKAN,combed,50,100,,,,,,,,,,,single,26,tube with line,,,,,224,117.2
82,31,32,28,single jersey,single,36/1,LIBAS,combed,29,95,20,TEKSMAR,lycra,,5,,,,,,single,26,open width,,,,,190,143.4
83,34,32,28,single jersey,single,30/1,MARTEKS,vortex gray melange50% polyester50%,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,210,116.8
84,1,32,20,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,super high polyester,30,11,10/1,BALSUYUM,anthracite melange,22,49,pique,21,tube with line,,,,,216,286.6
85,2,32,20,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,super high polyester,30,11,10/1,BALSUYUM,anthracite melange,22,49,pique,21,tube with line,,,,,220,297.5
86,8,32,20,single jersey,fleece,36/1,LIBAS,combed,44,32,36/1,LIBAS,combed,34,25,20/2,SIRIKCIOGLI,carded,16,43,diagonal,21,tube with line,,,,,216,252.2
87,5,32,20,single jersey,fleece,28/1,MODASN,vortex gray melange,44,42,70,TEKSMAR,polyester,28,10,10/1,NOPAS,open end-gray melange ,17,48,plain,21,tube with line,,,,,212,292.1
88,34,32,28,single jersey,single,30/1,NAZAR,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,220,115.6
89,17,36,17,double jersey,ribbed,36/1,LIBAS,combed,56,98,30,ANKAR,lycra,,2,,,,,,ribbed,17,tube with line,,,,,208,150.3
90,17,36,17,double jersey,ribbed,28/1,MODASN,vortex gray melange,72,98,40,HUAFON,lycra,,2,,,,,,ribbed,17,tube with line,,,,,240,288.4
91,28,32,28,single jersey,single,30/1,ARKAN,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,232,127
92,K1,30,26,single jersey,single,28/1,ARINC,combed,27,100,,,,,,,,,,,lacoste,,open width,,,,,211,156
93,A1,26,28,single jersey,single,30/1,KIPAS,combed,25,100,,,,,,,,,,,lacoste,,open width,,,,,198,142.8
94,A1,26,28,single jersey,single,30/1,KIPAS,combed,25,100,,,,,,,,,,,lacoste,,open width,,,,,200,138
95,A1,26,28,single jersey,single,24/1,NIPAS,combed,29.5,100,,,,,,,,,,,lacoste,,open width,,,,,210,181
96,4,32,20,single jersey,fleece,26/1,LIBAS,combed,45,38,100,TEKSMAR,polyester,29,12,8/1,LIBAS,open end-cotton-polyester,18,50,plain,21,tube with line,,,,,214,366.2
97,Y1,32,13,single jersey,single,20/1,MARTEKS,vortex gray melange,53,25.25,20,MARTEKS,vortex gray melange,45,25.25,10/2,,open end-cotton-polyester,23,49.5,plain,,open width,,,,,214,450.3
98,17,36,17,double jersey,ribbed,30/2,NOPAS,combed-cotton-polyester,72,98,40,HUAFON,lycra,,2,,,,,,ribbed,20,tube with line,,,,,226,323.3
99,24,32,22,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,,,220,305.3
100,22,32,22,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,,,210,269
101,21,32,22,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,,,216,275.2
102,7,32,20,single jersey,fleece,30/1,NOPAS,combed-cotton-polyester,45,41,70,KARESI,polyester,31.5,11,10/1,LIBAS,open end-cotton-polyester,18,48,diagonal,21,tube with line,,,,,212,261.7
103,23,32,22,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,polyester,30,11,12/1,KUTUKCOGLE,open end-cotton-polyester,22,49,pique,21,tube with line,,,,,208,280.7
104,3,32,20,single jersey,fleece,30/1,NOPAS,combed-cotton-polyester,47,36,30/1,NOPAS,combed-cotton-polyester,40,31,12/1,KUTUKCOGLE,open end-cotton-polyester,17,33,plain,21,tube with line,,,,,212,260
105,2,32,20,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,polyester,30,11,10/1,BALSUYUM,anthracite melange,22,49,pique,21,tube with line,,,,,216,304.2
106,1,32,20,single jersey,fleece,30/1,LIBAS,combed,44,40,70,TEKSMAR,polyester,30,11,10/1,BALSUYUM,anthracite melange,22,49,pique,21,tube with line,,,,,218,302.2
107,6,32,20,single jersey,fleece,30/1,NOPAS,combed-cotton-polyester,45,41,70,KARESI,polyester,31.5,11,10/1,LIBAS,open end-cotton-polyester,18,48,diagonal,21,tube with line,,,,,212,261.7
108,33,32,28,single jersey,single,40/1,NIPAS,combed,29,47.5,40/1,NIPAS,combed,,47.5,20,TEKSMAR,lycra,,5,S/Z twist single,26,open width,,,,,170,142.8
109,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,NIPAS,combed,,32,40,HUAFON,lycra,,4,diagonal,26,open width,,,,,180,261.3
110,3,32,20,single jersey,fleece,30/1,NOPAS,combed-cotton-polyester,47,36,30/1,NOPAS,combed-cotton-polyester,40,31,12/1,KUTUKCOGLE,open end-cotton-polyester,17,33,plain,21,tube with line,,,,,226,295.9
111,17,36,17,double jersey,ribbed,28/1,NIPAS,combed,54,98,40,HUAFON,lycra,,2,,,,,,ribbed,17,tube with line,,,,,204,227.6
112,18,36,18,double jersey,ribbed,30/1,LIBAS,combed,72,76,70/40,TEKSMAR,ecru guipure,68,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,,,,,186,418.1
113,29,32,22,single jersey,single,28/1,LIBAS,combed,38,100,,,,,,,,,,,single,26,open width,,,,,210,211.4
114,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,NIPAS,combed,,32,40,HUAFON,lycra,,4,diagonal,26,open width,,,,,190,277
115,34,32,28,single jersey,single,28/1,BILICILER,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,202,134.5
116,18,36,18,double jersey,ribbed,30/1,LIBAS,combed,72,76,70/40,TEKSMAR,ecru guipure,48,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,,,,,198,383.7
117,17,36,17,double jersey,ribbed,30/1,LIBAS,combed,56,98,30,ANKAR,lycra,,2,,,,,,ribbed,17,tube,,,,,200,190.9
118,28,32,28,single jersey,single,26/1,LIBAS,combed,28.5,100,,,,,,,,,,,single,26,tube with line,,,,,210,140.9
119,8,32,20,single jersey,fleece,36/1,LIBAS,combed,44,32,36/1,LIBAS,combed,34,25,20/2,ISIPLIK,carded,16,43,diagonal,21,tube with line,,,,,230,264
120,28,32,28,single jersey,single,30/1,LIBAS,combed,27.5,100,,,,,,,,,,,single,26,tube with line,,,,,204,142
121,17,36,17,double jersey,ribbed,30/1,NAZAR,combed,72,97,40,HUAFON,lycra,,3,,,,,,ribbed,18,tube with line,,,,,225,328.1
122,3,32,20,single jersey,fleece,30/1,NOPAS,combed-cotton-polyester,47,36,30/1,NOPAS,combed-cotton-polyester,40,31,12/1,KUTUKCOGLE,open end-cotton-polyester,17,33,plain,21,tube with line,,,,,215,265.7
123,18,36,18,double jersey,ribbed,30/1,LIBAS,combed,72,76,70/40,TEKSMAR,ecru guipure,68,20,70,HUAFON,lycra,,4,guipure ribbed,12,tube with line,,,,,192,381.1
124,29,32,22,single jersey,single,28/1,LIBAS,combed,38,100,,,,,,,,,,,single,26,open width,,,,,206,214
125,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,NIPAS,combed,,32,40,HUAFON,lycra,,4,diagonal,26,open width,,,,,216,259.7
126,30,32,22,single jersey,single,24/1,NAZAR,combed,34,64,20/1,NIPAS,combed,,32,40,HUAFON,lycra,,4,diagonal,26,open width,,,,,216,264.3
127,3,32,20,single jersey,fleece,30/1,NOPAS,combed-cotton-polyester,47,36,30/1,NOPAS,combed-cotton-polyester,40,31,12/1,KUTUKCOGLE,open end-cotton-polyester,17,33,plain,21,tube with line,,,,,215,273.5
128,Y1,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.4,plain,,open width,,,,,202,488
129,Y1,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.6,plain,,open width,,,,,201,479
130,Y1,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.6,plain,,open width,,,,,214,476
131,Y1,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.6,plain,,open width,,,,,214,473.3
132,Y1,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.6,plain,,open width,,,,,200,490
133,Y2,34,20,single jersey,single,24/2,KIPAS,open end-cotton-polyester,38,100,,,,,,,,,,,single,,tube with line,2525.5,2493.1,,,226,266.1
134,A2,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.6,plain,,open width,,,,,208,449
135,A3,24,28,single jersey,single,27/1,ARKAN,combed,24,100,,,,,,,,,,,lacoste,,open width,,,,,182,186.5
136,A4,32,28,single jersey,single,28/1,ARKAN,combed,28,100,,,,,,,,,,,single,,open width,,,,,220,137
137,G2,24,28,single jersey,single,27/1,ARKAN,combed,24,100,,,,,,,,,,,lacoste,,open width,,,,,200,184
138,G2,24,28,single jersey,single,27/1,ARKAN,combed,24,100,,,,,,,,,,,lacoste,,open width,,,,,214,182.3
139,G2,24,28,single jersey,single,27/1,ARKAN,combed,24,100,,,,,,,,,,,lacoste,,open width,,,,,210,181.3
140,G2,24,28,single jersey,single,27/1,ARKAN,combed,24,100,,,,,,,,,,,lacoste,,open width,,,,,210,187
141,Y2,34,20,single jersey,single,24/2,KIPAS,open end-cotton-polyester,38,100,,,,,,,,,,,single,,tube with line,,,,,222,254
142,A3,24,28,single jersey,single,27/1,ARKAN,combed,24,100,,,,,,,,,,,lacoste,,open width,,,,,200,181.6
143,Y1,32,13,single jersey,single,20/1,NIPAS,combed,50,25.8,20/1,NIPAS,combed,44,25.8,10/2,AKSAN,open end-cotton-polyester,22,48.4,plain,,open width,,,,,210,498.5
